nombre_evento,url_evento,codigo_postal,direccion,horario,organizacion,inicio_evento,fin_evento,ciudad
Exposición: Onírica,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=25ef33d971394910VgnVCM1000001d4a900aRCRD,28026,CALLE JULIO AGUIRRE 10,,Centro Sociocultural Cánovas del Castillo (Usera),2025-02-08,2025-03-08,Madrid
Fabricantes de historias,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f71667b761044910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Matadero Madrid,2025-01-25,2025-03-15,Madrid
Fachadas de comercios centenarios,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb2cb7a12d044910VgnVCM2000001f4a900aRCRD,28015,CALLE AMANIEL 29,,Centro Cultural Clara del Rey - Museo ABC (Centro),2025-01-11,2025-03-01,Madrid
Falamos Português,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=48c4948aceca4910VgnVCM1000001d4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,18:00,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),2025-02-21,2025-06-20,Madrid
Fiesta de carnaval en el Barrio del Aeropuerto,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f398b96cdd4f4910VgnVCM1000001d4a900aRCRD,,,18:00,,2025-03-01,2025-03-01,
Fiesta de carnaval en la Plaza de Cristina Arce y Rocio Oña,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d0f776ba794f4910VgnVCM1000001d4a900aRCRD,,,18:00,,2025-03-01,2025-03-01,
Fuentesal Arenillas e Itziar Okariz «CARRUSEL»,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9ec102a2fa0e1910VgnVCM1000001d4a900aRCRD,28015,CALLE CONDE DUQUE 9,,Centro de Cultura Contemporánea Conde Duque,2025-02-27,2025-05-18,Madrid
Gala Internacional de Magia en Escena,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a2c01d17620b3910VgnVCM1000001d4a900aRCRD,28012,RONDA ATOCHA 35,,Teatro Circo Price,2025-02-12,2025-03-09,Madrid
"Ganchillo, punto o lo que queramos",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fff5499d1fc63910VgnVCM1000001d4a900aRCRD,28043,CALLE MATAPOZUELOS 2,11:00,Espacio de Igualdad Carme Chacón. Hortaleza,2025-01-07,2025-04-29,Madrid
Grupo autónomo de Wikipedia,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e4f04d15a5664910VgnVCM2000001f4a900aRCRD,28039,CALLE BRAVO MURILLO 133,11:00,Espacio de Igualdad Hermanas Mirabal. Tetuán,2025-01-09,2025-03-27,Madrid
